cc,nullReferences
1,0
4,0
1,0
1,0
1,0
1,0
1,7
1,0
1,0
1,1
1,0
2,0
2,0
2,0
1,1
7,5
6,1
2,0
6,3
2,0
55,28
1,1
1,0
1,0
1,0
4,1
10,5
7,1
6,4
1,0
7,1
11,1
1,0
1,0
3,2
1,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
6,2
4,1
2,0
1,0
2,0
3,0
3,0
6,1
1,0
14,7
5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
5,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
20,2
2,0
5,2
8,5
5,1
5,0
6,2
10,1
6,1
8,1
3,0
1,0
2,0
1,0
1,0
6,2
2,1
3,0
5,1
1,0
3,0
1,0
1,0
3,0
3,0
1,0
2,1
1,0
2,1
5,1
2,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,3
1,0
1,0
2,0
1,0
12,5
1,0
1,0
1,0
1,0
2,0
1,0
4,6
7,12
6,10
1,0
1,0
2,0
4,0
1,0
1,0
13,6
27,9
3,1
1,0
4,1
1,0
1,0
1,0
2,0
4,0
1,0
5,1
7,2
5,2
1,0
1,0
3,1
1,0
1,0
1,0
1,0
4,1
2,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,1
1,0
1,0
1,0
1,0
1,0
8,10
4,6
1,0
2,2
2,0
12,2
5,0
2,0
13,2
2,1
3,0
1,0
4,1
3,1
1,0
1,0
1,0
1,0
1,0
1,0
5,3
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
3,1
1,0
1,0
1,0
2,1
1,0
1,0
1,0
2,1
1,0
3,2
1,0
1,0
2,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,1
1,1
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
4,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
4,0
1,0
1,0
1,0
2,0
4,4
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
12,3
1,0
1,0
2,0
3,2
2,1
1,0
1,0
1,0
1,0
1,1
7,6
3,2
3,0
19,4
1,0
1,0
13,0
2,1
1,0
4,1
7,3
6,4
1,0
2,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
12,3
1,0
3,1
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
2,1
1,0
1,0
1,0
2,2
1,0
2,1
1,0
1,0
1,0
1,0
7,0
1,0
1,0
1,0
11,11
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,4
6,1
2,1
5,3
2,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
3,4
1,1
1,1
16,0
5,3
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,0
6,1
1,0
1,0
1,0
3,4
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,2
8,0
2,1
1,0
5,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
2,0
2,0
1,0
1,0
3,0
2,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
12,3
1,0
1,0
1,0
1,0
1,0
9,4
1,0
1,0
1,0
1,0
25,17
32,45
9,5
121,62
37,19
30,15
20,5
2,1
1,0
4,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
15,10
1,0
1,0
1,0
1,0
1,0
1,0
1,0
50,23
116,35
5,0
1,0
4,0
4,3
1,0
1,0
4,1
53,26
1,0
15,3
1,0
1,0
29,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
6,0
1,0
1,0
1,0
1,0
1,0
1,0
63,25
1,0
7,0
1,0
5,2
1,0
8,7
8,7
13,5
17,12
2,0
13,6
7,1
4,1
5,2
2,0
1,0
12,1
33,12
12,3
9,11
1,0
13,16
2,0
3,0
3,0
11,2
12,4
14,7
19,15
2,0
3,0
5,2
9,4
1,0
4,2
29,3
1,0
59,32
17,5
22,7
1,0
15,16
20,8
55,15
140,68
15,17
25,14
1,0
9,5
1,0
4,0
1,0
107,56
95,63
14,17
6,15
17,17
1,0
22,15
20,12
118,27
31,10
7,0
3,0
13,4
19,9
6,2
16,10
8,6
12,1
1,1
2,0
1,0
2,1
1,1
2,2
3,0
7,0
10,2
4,3
2,0
1,0
5,0
9,2
23,22
1,0
1,0
1,2
6,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
6,0
43,19
10,2
23,8
21,1
13,8
19,14
11,5
1,0
37,16
19,5
6,0
15,9
1,0
1,0
68,17
1,0
32,21
8,3
2,0
24,7
14,8
21,8
5,0
25,10
7,3
2,1
6,0
26,5
17,16
2,1
14,8
1,0
1,0
1,0
10,3
2,1
7,2
6,0
14,3
4,1
1,1
8,6
2,1
1,1
1,1
1,2
1,2
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,0
4,0
10,5
1,0
1,0
60,44
1,0
83,4
1,0
4,3
1,0
1,0
2,0
3,0
1,2
1,0
1,0
6,1
3,1
8,2
4,3
1,0
23,1
1,0
1,0
4,2
1,1
6,1
2,1
3,2
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
10,4
1,0
12,6
21,7
2,0
21,10
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
11,3
8,2
4,0
22,5
7,1
8,0
6,0
7,1
35,12
1,0
25,9
1,0
105,55
43,45
10,13
1,0
16,4
35,22
42,20
105,122
27,17
85,38
72,45
7,3
62,21
3,2
1,0
4,1
1,0
15,7
4,2
9,4
1,0
1,0
1,0
2,0
1,0
1,0
1,0
4,1
8,4
12,3
12,6
2,1
4,3
13,1
3,0
10,1
24,15
1,0
19,9
5,0
1,0
1,0
1,0
1,0
1,0
3,0
4,0
1,0
1,0
1,0
1,0
30,1
1,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
4,0
1,0
10,0
3,2
1,0
5,0
1,0
1,0
1,0
11,0
8,0
1,0
1,0
1,0
6,0
6,0
35,1
19,0
11,0
1,0
7,7
1,0
1,0
4,3
1,0
1,0
4,3
1,0
1,0
3,3
9,5
1,0
1,0
2,2
1,0
1,0
1,0
1,0
1,0
4,1
2,0
2,1
4,0
1,0
1,0
1,0
1,0
2,1
2,0
1,0
37,10
1,0
19,0
34,8
38,8
124,11
4,0
22,2
10,4
4,0
7,1
29,4
3,0
112,20
1,0
14,3
58,19
3,1
5,1
19,6
4,1
6,0
3,0
17,0
33,2
9,2
11,1
29,0
3,0
24,1
6,0
7,0
4,0
7,3
2,0
6,0
5,1
79,7
1,0
4,2
9,2
16,5
17,0
14,2
5,2
5,0
50,9
15,1
4,2
15,2
25,1
14,7
2,2
3,4
21,3
12,4
2,2
5,0
4,2
6,0
5,1
1,0
4,0
3,0
1,0
15,0
3,0
2,0
1,0
10,5
7,1
2,0
48,6
1,0
16,8
38,34
22,11
19,1
5,2
70,15
4,1
25,6
22,5
69,18
14,0
6,3
41,1
7,0
11,1
3,0
3,2
2,0
3,0
6,0
20,3
27,4
43,16
6,0
193,36
7,2
5,0
3,1
11,1
7,0
12,0
4,0
17,2
17,3
13,0
2,0
32,6
4,1
6,2
26,5
51,17
27,9
58,8
6,3
28,12
8,1
10,1
46,13
11,7
23,6
60,13
177,23
17,6
66,25
29,3
7,0
18,4
2,0
8,3
25,6
21,0
8,6
6,5
1,0
1,0
1,0
6,5
5,4
1,0
1,0
2,1
1,0
4,2
1,0
1,0
1,0
3,2
1,0
1,0
2,1
1,0
4,6
8,14
8,14
7,12
7,17
7,19
7,25
7,19
7,27
7,17
7,12
7,27
7,31
4,6
7,17
5,8
4,6
7,29
4,6
1,0
7,29
4,6
6,10
8,14
8,14
6,10
4,6
1,0
9,4
68,18
18,8
13,9
3,2
3,1
7,6
4,2
1,0
1,0
1,0
54,19
1,0
8,6
10,3
5,1
13,8
3,2
12,1
2,0
1,0
10,0
3,0
3,2
3,1
10,0
5,1
5,4
13,10
17,7
11,7
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
7,3
1,0
1,0
2,1
1,0
1,0
1,0
1,0
2,1
1,0
1,0
2,1
1,0
5,0
1,0
1,0
5,0
3,1
5,0
13,5
11,5
1,0
1,0
1,0
1,0
1,0
13,1
1,0
1,0
1,0
1,0
4,6
7,25
1,0
4,2
1,0
1,0
1,0
30,3
3,1
1,0
1,0
2,1
1,0
6,10
6,10
12,22
4,6
7,27
7,29
7,47
5,8
7,21
10,18
9,16
7,29
7,35
7,19
4,6
7,29
4,6
1,0
7,5
1,0
6,2
67,21
1,0
1,0
5,0
90,14
83,13
141,21
4,3
1,0
1,0
1,0
2,0
8,6
3,2
5,5
1,0
1,0
1,0
2,0
4,4
2,1
2,1
4,0
1,0
11,0
1,0
3,0
2,0
1,0
8,5
3,2
5,5
4,4
1,1
3,0
1,0
2,0
8,6
1,0
1,0
5,5
9,12
1,0
1,0
1,0
1,0
3,0
2,0
1,0
1,0
3,3
1,0
1,0
1,0
3,0
20,8
5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
7,3
2,1
11,5
4,2
4,2
5,3
7,4
8,6
4,0
4,0
1,0
1,0
15,3
1,0
3,2
2,1
11,5
4,1
2,1
7,3
1,0
1,0
2,1
1,0
2,5
3,3
22,19
1,0
1,0
16,2
1,0
7,1
5,2
27,10
12,7
2,1
1,0
2,0
1,0
25,9
4,1
11,4
1,0
2,0
7,2
4,7
12,4
5,1
5,1
1,0
12,2
15,4
7,2
5,1
10,3
10,4
1,0
1,0
4,0
27,1
1,3
1,3
4,0
17,4
11,1
1,0
65,4
11,1
1,0
9,8
49,7
29,9
20,6
52,17
16,6
72,26
18,4
1,0
1,0
6,1
1,0
1,0
5,1
5,0
1,0
5,3
21,3
37,30
1,0
95,55
22,10
21,18
3,1
4,1
12,6
42,13
17,1
3,6
6,0
8,4
1,0
10,0
1,0
4,0
3,0
1,0
4,0
1,2
24,13
12,9
1,4
45,6
4,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
2,1
2,1
1,0
1,0
4,3
14,9
4,3
2,0
1,0
5,3
31,9
1,0
8,0
1,0
60,22
69,49
59,16
15,4
4,2
89,34
8,1
1,0
5,0
21,26
9,0
5,1
5,0
4,1
5,2
4,2
1,0
26,3
10,4
9,4
31,10
60,12
93,24
4,0
11,2
87,27
11,0
13,0
1,0
37,55
1,0
4,1
2,1
21,6
9,5
16,11
31,15
19,24
24,7
11,1
3,2
137,71
15,9
4,1
6,6
13,12
82,3
17,10
4,3
36,15
47,4
58,19
7,0
3,2
8,0
3,1
2,1
7,3
100,58
2,1
1,0
69,13
19,11
41,42
18,9
2,0
94,40
20,4
19,10
5,0
19,12
17,10
42,45
92,8
1,0
6,6
22,5
1,0
7,0
83,20
3,0
8,2
42,44
14,3
15,7
58,27
2,0
2,0
2,1
2,0
2,0
2,1
2,0
1,0
2,1
2,0
6,0
2,1
2,0
3,0
2,1
2,0
6,1
2,1
2,1
2,0
3,0
1,0
1,0
3,2
5,0
1,0
4,0
1,0
10,2
2,1
33,17
106,18
59,11
6,2
59,11
8,6
16,4
83,8
3,1
7,5
40,35
5,1
1,1
26,11
25,20
16,12
1,3
1,3
5,1
1,0
3,0
2,1
4,0
1,0
2,1
1,0
2,0
4,1
7,10
4,0
13,9
104,33
8,3
3,2
1,0
13,9
15,3
9,3
10,7
2,0
8,6
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
12,2
1,0
24,8
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,2
1,0
1,2
1,0
1,0
1,0
1,0
4,0
1,0
1,0
2,0
4,0
1,0
3,0
2,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
3,0
1,0
5,4
2,2
5,5
2,0
5,1
1,0
2,0
1,0
1,0
2,0
4,1
3,0
4,0
1,0
1,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,2
1,0
2,1
1,0
1,0
2,1
2,1
1,0
1,0
1,0
2,1
2,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
7,2
1,0
1,0
1,0
2,1
1,0
1,0
1,0
26,16
7,2
1,0
1,0
1,0
8,1
1,0
2,1
8,4
2,1
2,1
1,0
1,0
1,0
2,1
2,1
1,0
2,1
7,4
2,3
1,0
1,0
1,0
1,0
7,1
12,10
5,1
1,0
1,0
1,0
7,1
7,3
1,0
1,0
1,0
1,0
9,3
5,3
1,0
2,1
3,0
3,0
4,1
3,0
3,2
1,0
2,1
1,0
8,3
1,0
1,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,1
1,0
4,2
1,0
1,0
1,0
4,3
2,1
1,0
1,0
1,0
3,1
1,0
1,0
3,1
3,1
1,0
1,0
3,1
2,1
1,0
1,0
1,0
68,24
27,13
28,14
9,4
2,1
1,0
2,0
1,0
5,1
5,1
2,1
1,0
1,0
1,0
1,0
7,1
2,1
14,1
1,0
1,0
1,0
1,1
2,1
4,2
1,0
1,0
3,0
2,0
2,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
2,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
2,0
1,1
3,1
1,0
2,1
1,0
1,0
1,0
1,0
3,1
1,0
3,0
1,0
2,1
2,1
2,2
2,1
3,2
1,0
2,1
1,0
3,1
1,0
2,1
3,1
1,0
1,0
1,0
1,0
1,2
1,0
1,0
2,1
2,1
2,1
1,0
1,0
1,0
3,1
4,3
2,1
1,0
2,0
7,3
24,8
1,0
1,0
2,0
1,0
29,17
1,0
19,20
19,2
21,9
1,0
1,0
3,1
1,0
2,0
1,0
1,0
1,0
2,1
1,1
4,1
1,0
1,0
12,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,1
5,1
24,2
1,0
2,0
2,0
9,1
1,0
9,5
2,0
4,0
1,0
1,0
2,0
6,0
2,0
2,0
11,1
5,2
1,0
11,1
1,0
6,1
5,1
5,1
1,0
16,1
10,1
2,0
13,2
1,0
10,1
2,0
7,4
2,0
1,0
24,9
6,4
2,0
8,1
1,0
1,0
1,0
8,7
2,0
5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
10,4
1,0
1,0
2,0
8,1
6,0
15,9
7,2
22,1
6,3
1,1
9,2
16,5
14,4
29,4
31,3
12,1
14,4
12,2
20,3
15,12
7,2
6,4
6,1
4,0
16,4
3,0
5,1
19,2
8,4
6,2
3,1
5,6
6,1
1,0
1,0
2,1
7,0
1,0
1,0
8,5
7,0
10,0
6,0
4,0
5,0
3,1
13,1
21,14
24,2
22,3
6,0
7,0
2,0
19,7
1,0
4,0
1,0
1,0
1,0
5,3
3,4
1,0
4,1
3,0
4,0
21,7
2,0
2,1
9,1
2,0
6,2
7,2
20,5
2,0
3,1
9,2
3,2
3,2
3,2
2,0
2,0
2,0
2,0
29,4
3,0
2,0
7,2
2,0
2,0
3,0
2,0
14,15
4,1
8,12
2,0
2,0
4,0
3,3
7,14
2,0
96,24
1,0
3,5
24,11
84,8
23,4
11,3
1,0
24,8
1,0
8,4
50,12
1,0
1,0
1,0
10,0
93,16
2,4
7,7
6,2
7,1
4,4
6,5
7,8
4,5
11,2
11,9
11,1
13,8
24,12
4,4
1,3
1,2
2,3
9,0
3,0
3,2
3,0
1,0
3,1
4,2
5,0
6,0
1,0
5,0
4,1
1,0
1,0
1,0
13,7
1,0
1,0
3,0
1,0
5,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
4,2
3,2
1,0
1,0
2,3
1,1
15,4
11,4
1,0
4,3
3,3
1,0
3,2
15,5
7,4
1,0
6,1
5,0
2,1
2,3
4,2
1,0
19,13
6,0
7,0
1,0
1,0
5,4
1,0
1,0
1,0
7,2
2,0
1,0
15,10
4,1
2,0
1,0
1,1
1,0
8,8
1,1
1,1
2,0
1,1
1,1
1,1
1,0
1,1
1,0
4,3
6,1
3,1
1,0
1,2
20,8
8,8
3,1
31,18
1,0
6,2
6,6
1,0
1,0
6,3
6,4
26,8
6,4
3,4
2,3
19,19
2,1
1,0
2,2
18,17
6,6
11,8
2,0
5,4
1,0
2,2
4,3
6,4
5,7
10,7
2,2
3,2
4,4
1,1
2,0
4,5
3,1
8,1
4,5
2,2
3,3
2,2
1,0
4,4
4,3
2,2
1,0
6,7
2,3
6,7
4,4
1,0
2,3
7,6
5,5
15,7
2,1
4,3
4,4
3,4
5,5
4,4
1,0
1,0
6,4
1,0
8,7
1,1
6,4
26,14
1,0
17,18
17,17
1,1
1,0
4,3
1,0
5,5
1,0
2,0
2,1
5,5
1,0
4,2
2,3
1,0
8,6
6,8
21,17
5,6
1,0
3,1
6,5
2,0
4,3
4,3
2,2
1,0
2,2
6,5
6,3
6,5
3,3
4,2
6,5
3,4
1,1
1,0
5,5
6,5
2,1
1,1
5,7
1,0
6,5
6,8
9,7
1,0
2,2
3,4
6,2
11,7
10,10
11,4
2,1
5,5
18,10
7,4
2,1
1,0
5,4
3,1
5,5
4,6
1,0
4,6
7,4
1,0
6,3
5,4
6,3
1,0
10,3
2,2
11,10
1,0
14,25
25,13
24,42
1,0
1,30
1,0
14,4
1,0
1,0
1,0
8,0
1,0
1,0
1,0
17,3
4,3
1,0
33,28
3,1
16,0
10,0
1,0
52,29
13,1
2,3
12,5
1,0
6,1
23,0
38,22
35,14
1,0
8,3
3,0
25,8
3,3
4,1
3,2
10,5
4,3
2,0
119,66
1,0
1,0
155,65
12,12
62,17
2,2
3,4
2,1
3,4
178,109
7,12
1,0
3,27
10,8
1,0
1,0
2,2
1,0
16,14
9,6
3,0
1,0
1,0
1,0
2,0
1,1
9,10
1,0
11,12
1,0
9,1
11,3
1,0
22,18
1,0
8,6
1,11
10,4
2,1
2,0
29,13
144,82
1,0
21,22
9,6
9,6
3,1
8,0
1,0
9,10
11,7
8,2
20,18
13,10
14,15
1,0
1,0
1,0
1,0
8,3
45,38
1,0
2,0
1,0
1,0
1,0
1,2
8,3
1,0
9,4
9,0
1,0
1,0
47,44
23,11
36,19
1,0
1,0
1,1
1,0
1,0
2,0
5,2
1,0
8,2
12,5
8,4
5,2
3,2
3,2
2,1
6,3
6,3
2,1
2,1
2,1
2,1
3,1
2,1
4,2
2,1
2,1
2,1
2,1
4,2
6,3
3,1
2,1
2,1
2,1
2,1
6,3
5,3
12,5
2,1
9,5
1,0
1,0
1,0
1,0
8,2
1,0
1,0
8,2
1,0
3,2
1,0
21,4
1,0
1,0
11,2
1,0
1,0
1,0
10,10
39,23
44,27
3,0
1,0
1,0
16,8
31,14
6,5
13,14
112,36
4,1
5,4
22,9
1,0
1,0
12,7
8,8
1,0
7,2
3,1
12,12
3,2
1,0
1,0
1,0
1,0
1,0
14,22
1,0
40,23
1,0
5,3
6,6
10,1
9,1
3,1
9,2
70,21
54,23
1,1
3,2
1,0
1,0
3,1
8,1
8,5
1,0
12,0
1,0
5,3
1,0
1,0
210,153
1,0
9,5
1,0
22,12
1,0
1,0
2,1
2,0
3,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
14,22
30,35
1,1
5,0
1,0
7,3
3,1
3,0
6,2
3,0
1,0
41,19
1,0
19,5
1,0
7,2
2,1
6,75
12,5
1,0
1,0
1,0
1,0
1,0
1,0
1,1
2,0
17,7
1,0
2,0
11,10
1,0
1,1
1,0
6,5
179,47
6,2
2,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,2
14,20
1,0
16,10
1,0
1,0
1,0
1,0
35,51
1,3
8,6
6,5
1,0
1,21
4,1
1,0
10,10
3,2
3,2
4,0
1,0
2,0
5,0
72,41
1,0
14,22
10,6
5,2
8,2
12,2
20,9
3,1
3,2
11,6
1,0
13,1
2,2
1,0
13,11
12,6
1,0
1,2
1,0
10,6
5,6
10,5
1,0
4,5
2,1
14,12
6,8
4,5
16,4
3,1
4,3
4,5
2,1
5,6
3,2
44,10
7,3
4,5
6,5
4,5
5,0
18,8
11,4
1,3
5,1
4,5
3,3
2,1
3,1
5,1
7,5
41,17
5,3
5,2
4,2
4,2
8,3
1,0
74,37
7,3
3,1
3,0
8,4
5,2
1,0
1,0
2,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,0
5,2
3,1
2,0
1,0
1,2
3,1
6,4
6,1
39,14
5,0
13,4
7,3
1,0
2,2
10,2
10,2
41,10
7,5
24,14
10,2
62,28
10,5
24,14
17,4
1,0
1,0
15,9
1,0
1,0
46,26
23,8
6,3
1,0
18,8
11,11
1,0
15,7
11,4
14,6
1,0
1,0
3,1
6,2
5,2
5,3
16,9
3,0
1,0
10,6
6,0
77,43
3,2
1,0
6,3
1,0
1,0
7,1
4,2
11,2
9,1
14,7
3,4
23,8
17,8
9,6
61,26
7,1
1,1
1,2
21,10
3,1
8,6
1,0
1,0
1,0
51,21
4,3
1,0
1,0
1,0
8,2
1,0
1,0
3,0
1,0
10,4
1,0
1,0
11,2
1,0
4,0
4,1
12,3
2,0
1,0
7,2
12,2
1,0
1,0
1,0
7,0
6,2
3,0
11,0
1,0
1,0
1,0
1,0
2,0
9,2
1,0
1,0
1,0
13,2
2,0
4,3
2,0
1,0
2,0
1,0
31,16
1,1
4,3
3,0
1,0
2,0
2,0
1,0
1,1
3,0
1,0
1,0
2,1
1,0
2,2
1,2
3,0
1,0
1,0
9,5
2,0
7,9
1,2
7,8
14,22
1,0
61,33
7,2
3,1
1,0
3,3
2,0
6,1
2,0
13,14
1,0
7,4
1,0
10,4
8,0
29,6
60,10
2,1
59,0
20,0
201,44
1,0
63,2
47,16
14,0
5,0
67,19
67,25
10,0
12,5
31,11
22,7
25,17
8,8
4,5
1,0
8,3
1,0
1,0
4,5
1,0
19,13
2,2
1,0
2,5
10,6
1,0
1,0
1,0
1,0
1,0
1,0
2,2
1,0
19,11
27,18
3,2
1,0
1,0
1,0
19,10
1,0
1,0
1,0
1,0
1,0
7,4
18,5
9,4
19,9
1,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
4,1
1,0
2,1
2,1
4,1
1,0
1,0
3,1
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,1
1,0
4,1
1,0
10,5
1,0
1,0
1,0
1,0
23,9
73,41
1,0
2,1
7,2
5,2
7,2
1,0
1,0
