full_name,default_branch,stars,forks,created_at,size,open_issues_count
in28minutes/devops-master-class,master,1728,5001,2020-01-20T03:46:30Z,3763,10
react-native-video/react-native-video,master,6703,2766,2015-03-31T05:08:38Z,15342,215
springside/springside4,master,5744,2949,2012-02-23T08:39:03Z,4837,72
kekingcn/kkFileView,master,8924,2405,2017-12-12T11:41:08Z,691073,207
alibaba/otter,master,7823,2541,2013-08-09T09:31:22Z,12039,325
udacity/ud851-Sunshine,student,2009,4584,2016-11-02T04:42:26Z,1033,88
datahub-project/datahub,master,8462,2444,2015-11-18T05:47:40Z,2617482,181
apache/zeppelin,master,6163,2780,2015-03-25T07:00:06Z,102204,146
macrozheng/springcloud-learning,master,5991,2763,2019-09-07T02:36:16Z,157,21
liyifeng1994/ssm,master,5816,2791,2016-06-18T17:58:56Z,12364,45
changmingxie/tcc-transaction,master-2.x,5671,2820,2015-12-05T04:27:53Z,5633,32
youtube/api-samples,master,5003,2967,2013-12-09T18:41:41Z,816,354
Exrick/xmall,master,6996,2564,2017-07-28T01:49:49Z,110866,33
doocs/jvm,main,9814,2211,2018-06-23T01:12:59Z,65987,11
debezium/debezium,main,9122,2267,2016-01-22T20:17:05Z,43236,54
apache/rocketmq-externals,master,4478,3078,2017-03-14T07:00:06Z,36279,114
MinecraftForge/MinecraftForge,1.20.x,6367,2607,2012-01-30T01:35:01Z,117200,146
spring-cloud/spring-cloud-gateway,main,4192,3122,2016-11-16T21:42:51Z,11499,501
zouzg/mybatis-generator-gui,master,6538,2513,2016-05-08T22:39:39Z,14934,115
flowable/flowable-engine,main,6804,2464,2016-10-13T07:21:43Z,222881,331
hongyangAndroid/okhttputils,master,6875,2421,2015-08-17T14:53:29Z,17152,217
motianhuo/wechat,master,5316,2591,2015-05-25T02:33:37Z,96503,45
wxiaoqi/Spring-Cloud-Platform,master,6224,2413,2017-05-25T10:35:26Z,212277,15
bjmashibing/InternetArchitect,master,4184,2846,2019-10-19T16:32:01Z,298764,25
NLPchina/ansj_seg,master,6363,2365,2012-09-05T05:56:24Z,352501,50
mybatis/generator,master,5166,2529,2013-02-10T11:14:50Z,55578,6
apache/incubator-kie-drools,main,5510,2459,2011-02-18T08:37:05Z,287138,24
swagger-api/swagger-core,master,7264,2154,2011-07-05T23:44:11Z,19292,753
sohutv/cachecloud,main,7954,2069,2016-01-26T05:46:01Z,52879,37
react-native-image-picker/react-native-image-picker,main,8176,2043,2015-06-08T20:25:31Z,2996,247
roncoo/roncoo-pay,master,4632,2574,2016-07-21T02:46:06Z,18383,31
OpenRefine/OpenRefine,master,9718,1863,2012-10-15T02:22:48Z,398945,600
stacksimplify/aws-eks-kubernetes-masterclass,master,1001,4983,2020-04-20T11:41:14Z,53021,33
lenve/JavaEETest,master,3351,2921,2016-12-13T02:13:58Z,27714,69
OpenFeign/feign,master,9035,1896,2013-06-26T23:28:16Z,5253,187
PaperMC/Paper,master,8018,1987,2016-01-22T05:40:19Z,68154,470
bitcoinj/bitcoinj,master,4688,2506,2013-11-19T04:33:23Z,25336,454
knightliao/disconf,master,5571,2323,2014-05-30T09:39:27Z,8619,204
stleary/JSON-java,master,4342,2556,2010-12-21T17:46:09Z,2707,18
spring-cloud/spring-cloud-netflix,main,4783,2430,2014-07-11T15:46:12Z,20135,105
careercup/ctci,master,5102,2338,2013-03-21T23:01:01Z,2169,66
shopizer-ecommerce/shopizer,main,3257,2835,2012-11-21T03:42:39Z,565888,455
twowaits/SDE-Interview-Questions,master,6764,2052,2017-10-25T11:08:52Z,1461,4
SonarSource/sonarqube,master,8083,1886,2011-01-05T11:05:17Z,924008,0
apache/jmeter,master,7403,1946,2010-05-26T23:38:07Z,154603,739
apache/nifi,main,4016,2537,2014-12-12T08:00:05Z,239561,36
apache/maven,master,3875,2557,2009-05-21T03:22:03Z,59239,82
apache/hudi,master,4527,2365,2016-12-14T15:53:41Z,716456,797
Blankj/awesome-java-leetcode,master,8599,1772,2017-04-17T15:51:41Z,512,14
openhab/openhab-addons,main,1799,3490,2014-05-13T19:41:58Z,332840,764
traccar/traccar,master,4343,2368,2012-04-16T08:33:49Z,21855,448
yuanguangxin/LeetCode,master,7187,1899,2020-01-11T01:02:02Z,271,0
TechEmpower/FrameworkBenchmarks,master,7120,1899,2013-03-22T17:33:54Z,307603,122
dropwizard/metrics,release/4.2.x,7759,1820,2010-02-26T19:44:42Z,19676,9
gedoor/MyBookshelf,master,7469,1850,2018-06-12T03:48:07Z,27255,228
tuguangquan/mybatis,master,4453,2312,2014-11-03T04:51:06Z,50815,19
databricks/learning-spark,master,3864,2442,2014-06-16T04:47:54Z,370,29
zhanglei-workspace/shopping-management-system,master,4634,2253,2015-11-16T12:53:21Z,4353,27
karatelabs/karate,master,7357,1841,2017-02-07T15:59:17Z,25888,42
nathanmarz/storm,moved-to-apache,8870,1692,2011-09-17T07:55:13Z,27015,43
apache/shiro,main,4175,2344,2009-08-29T08:00:17Z,28236,11
brianfrankcooper/YCSB,master,4608,2199,2010-04-19T20:52:11Z,32435,335
perwendel/spark,master,9543,1583,2011-05-05T11:52:05Z,2503,259
rest-assured/rest-assured,master,6524,1853,2010-10-21T08:35:43Z,11209,531
jagrosh/MusicBot,master,4270,2223,2016-08-14T18:46:29Z,7631,190
ssssssss-team/spider-flow,master,8466,1632,2020-03-27T11:07:15Z,3382,20
java-native-access/jna,master,8028,1667,2011-04-29T13:30:29Z,639040,88
981011512/--,master,3963,2266,2020-06-18T22:47:21Z,881,42
hackware1993/MagicIndicator,main,9542,1545,2016-06-26T08:20:43Z,54746,184
TencentCloud/TIMSDK,master,2455,2774,2019-01-17T07:35:20Z,828555,358
wildfirechat/im-server,wildfirechat,7407,1711,2019-01-23T15:21:28Z,20940,12
mybatis/spring,master,2710,2628,2013-02-17T07:01:55Z,17772,33
json-path/JsonPath,master,8245,1617,2011-01-24T13:19:19Z,2609,374
WeiYe-Jing/datax-web,master,4985,1992,2019-11-19T01:09:05Z,43670,272
quartz-scheduler/quartz,main,5828,1860,2016-03-07T14:05:37Z,24934,133
itwanger/toBeBetterJavaer,master,9719,1474,2018-11-08T00:35:56Z,1959880,34
zfile-dev/zfile,main,7840,1613,2019-08-19T13:57:56Z,46455,66
Meituan-Dianping/Leaf,master,6100,1794,2018-12-11T07:41:35Z,149,91
NanoHttpd/nanohttpd,master,6688,1718,2012-08-10T21:52:42Z,1375,189
apache/dubbo-spring-boot-project,master,5401,1884,2018-01-18T12:10:50Z,1557,43
apache/calcite,main,4039,2135,2014-06-25T07:00:07Z,94248,311
apache/dubbo-admin,develop,3878,2152,2018-01-11T05:30:17Z,14038,221
frohoff/ysoserial,master,6756,1690,2015-01-28T07:13:55Z,480,51
weibocom/motan,master,5856,1795,2016-04-20T10:56:17Z,4172,351
spring-guides/gs-spring-boot,main,805,4254,2013-07-30T18:25:34Z,960,9
purplecabbage/phonegap-plugins,master,980,3887,2010-02-03T09:51:18Z,62019,78
fuzhengwei/itstack-demo-design,master,5838,1794,2020-05-20T13:45:30Z,1810,31
openmrs/openmrs-core,master,1244,3455,2012-07-26T04:54:29Z,235958,17
abel533/Mapper,master,7157,1612,2014-11-21T11:02:10Z,2114,235
java8/Java8InAction,master,3161,2285,2013-10-28T23:59:40Z,112,26
thombergs/code-examples,master,2460,2542,2017-07-30T14:12:24Z,121554,112
hazelcast/hazelcast,master,5582,1780,2012-03-21T12:25:18Z,391082,1264
alibaba/transmittable-thread-local,master,6811,1624,2013-10-13T08:48:33Z,3357,26
Angel-ML/angel,master,6682,1635,2017-04-25T05:57:43Z,93424,129
yasserg/crawler4j,master,4426,1953,2011-12-31T22:49:18Z,1186,188
vipshop/vjtools,master,7546,1545,2018-05-29T09:07:08Z,2108,56
mrniko/netty-socketio,master,6425,1653,2012-01-12T11:43:49Z,2085,386
apache/groovy,master,4969,1839,2015-04-16T07:00:05Z,214251,18
guolindev/booksource,master,3056,2267,2016-10-04T02:55:57Z,21429,11
testcontainers/testcontainers-java,main,7377,1533,2015-04-12T12:44:59Z,11178,467
2227324689/gpmall,master,4689,1861,2019-07-18T14:09:22Z,56925,48
bytedeco/javacv,master,6922,1567,2014-04-21T13:50:26Z,7157,368
vert-x3/vertx-examples,4.x,3454,2107,2015-02-24T17:42:44Z,51251,45
spring-projects/spring-integration-samples,main,2230,2548,2011-08-10T04:40:02Z,13965,21
AsyncHttpClient/async-http-client,main,6166,1632,2011-03-07T13:41:46Z,18995,96
apache/ignite,master,4549,1862,2015-02-19T08:00:05Z,444312,720
TEAMMATES/teammates,master,1497,3011,2014-05-02T07:43:00Z,252266,88
joelittlejohn/jsonschema2pojo,master,6052,1641,2013-06-22T22:28:53Z,11770,190
JabRef/jabref,main,3127,2178,2014-03-11T14:48:42Z,221614,430
scribejava/scribejava,master,5381,1714,2010-09-05T19:11:40Z,2633,60
NLPchina/elasticsearch-sql,master,6919,1532,2014-08-24T14:26:31Z,8756,309
wildfly/wildfly,main,2926,2219,2010-07-08T20:46:07Z,279862,87
apache/iceberg,master,4812,1788,2018-11-19T16:26:46Z,42451,1442
geoserver/geoserver,main,3344,2082,2011-11-10T19:56:06Z,312061,10
GoogleCloudPlatform/java-docs-samples,main,1609,2837,2015-03-25T22:48:38Z,100534,29
processing/processing,master,6402,1535,2013-01-24T21:17:22Z,1647982,495
in28minutes/spring-boot-examples,master,1116,3273,2017-11-27T04:31:20Z,2128,45
h2pl/JavaTutorial,master,6228,1549,2018-05-01T15:57:21Z,4882,7
alibaba/jvm-sandbox,master,6323,1537,2017-08-03T02:55:31Z,1856,35
knowm/XChange,develop,3689,1922,2012-02-02T10:48:28Z,47564,367
flyway/flyway,main,7399,1417,2012-12-14T18:43:22Z,752375,144
Heeexy/SpringBoot-Shiro-Vue,master,4387,1778,2017-11-17T18:49:06Z,408,2
phishman3579/java-algorithms-implementation,master,4294,1783,2013-11-20T03:30:19Z,1487,80
dromara/lamp-cloud,java17,5115,1649,2018-01-17T02:51:04Z,43292,4
eclipse/jetty.project,jetty-10.0.x,3657,1900,2011-07-14T01:11:57Z,239203,396
springfox/springfox,master,5853,1540,2012-05-06T06:38:57Z,186279,297
in28minutes/spring-microservices,master,1654,2663,2017-09-07T13:24:37Z,93130,10
code4craft/tiny-spring,master,3936,1822,2014-01-10T16:37:57Z,638,27
spring-projects/spring-batch,main,2457,2224,2010-11-17T17:53:45Z,103128,289
gephi/gephi,master,5460,1564,2011-10-22T03:14:46Z,652406,466
opensearch-project/OpenSearch,main,7661,1352,2021-01-29T22:10:00Z,559615,1458
resilience4j/resilience4j,master,9045,1249,2015-06-03T09:21:01Z,8369,177
mybatis/spring-boot-starter,master,3966,1770,2015-09-25T13:05:15Z,13036,9
liquibase/liquibase,master,4077,1729,2011-07-08T20:08:20Z,157679,661
zq2599/blog_demos,master,3967,1729,2017-04-09T04:51:56Z,205214,128
google/grafika,master,5896,1445,2013-12-19T18:36:53Z,1092,61
baidu/uid-generator,master,5170,1525,2017-03-27T04:03:43Z,390,42
ZHENFENG13/spring-boot-projects,main,4903,1559,2017-04-01T01:50:14Z,14626,2
cjlin1/libsvm,master,4379,1637,2013-09-10T14:32:07Z,8983,109
ffay/lanproxy,master,5397,1493,2016-11-20T08:12:10Z,9573,139
linyiqun/DataMiningAlgorithm,master,3736,1743,2015-01-11T02:50:28Z,535,2
Snailclimb/guide-rpc-framework,master,3318,1829,2020-05-10T13:24:42Z,4363,22
zlt2000/microservices-platform,master,4268,1636,2019-03-07T07:13:37Z,300517,11
kubernetes-client/java,master,3148,1866,2017-05-08T21:52:58Z,31681,51
ververica/flink-cdc-connectors,master,4538,1580,2020-07-27T19:23:33Z,18181,744
cucumber/cucumber-jvm,main,2611,2006,2011-06-27T19:49:46Z,29018,45
cabaletta/baritone,1.19.4,6133,1379,2018-08-01T15:34:21Z,15318,747
saysky/ForestBlog,master,4175,1618,2017-10-08T15:27:47Z,52199,36
frogermcs/InstaMaterial,master,5002,1481,2014-11-10T18:56:49Z,4531,30
azkaban/azkaban,master,4320,1577,2012-10-18T01:34:53Z,57554,796
junit-team/junit5,main,5916,1371,2015-01-11T19:06:10Z,646206,139
bethrobson/Head-First-Design-Patterns,master,2963,1850,2014-04-28T21:04:55Z,208,25
DTStack/chunjun,master,3750,1667,2018-04-03T12:44:58Z,127019,282
apache/seatunnel,dev,6434,1317,2017-08-05T09:14:47Z,24077,543
jeequan/jeepay,master,4053,1599,2017-08-12T02:40:32Z,6156,29
hansonwang99/Spring-Boot-In-Action,master,4583,1504,2019-01-28T12:56:51Z,15827,25
wiremock/wiremock,master,5744,1357,2011-10-09T20:27:24Z,42112,338
Nepxion/Discovery,6.x.x,5391,1394,2018-06-21T16:16:49Z,211947,10
jetlinks/jetlinks-community,master,4605,1487,2020-01-02T07:27:34Z,68475,15
baomidou/mybatis-plus-samples,master,2095,2044,2018-07-23T02:32:11Z,602,16
stylefeng/Guns,master,3694,1585,2017-07-06T05:19:54Z,20263,52
spring-io/initializr,main,3220,1681,2013-06-07T16:02:22Z,10472,48
google/closure-compiler,master,7080,1186,2014-04-16T15:30:36Z,175538,891
pmd/pmd,master,4433,1452,2012-07-11T18:03:00Z,445736,664
cryptomator/cryptomator,develop,9856,1024,2014-02-02T00:43:47Z,22265,262
CodingDocs/springboot-guide,master,4932,1384,2018-11-28T01:05:07Z,5354,14
didi/KnowStreaming,master,6411,1231,2020-03-19T05:13:51Z,199774,127
codingapi/tx-lcn,dev6.0,4209,1467,2017-11-11T03:34:34Z,14551,196
citerus/dddsample-core,master,4635,1404,2015-01-31T23:21:37Z,8554,14
graphhopper/graphhopper,master,4306,1446,2012-02-18T19:57:38Z,135337,220
abel533/MyBatis-Spring-Boot,master,3367,1608,2015-12-19T09:57:22Z,152,96
jeecgboot/JimuReport,master,4714,1388,2019-12-05T12:25:59Z,100436,23
Wizcorp/phonegap-facebook-plugin,master,1899,2042,2011-05-31T01:02:23Z,75734,431
deeplearning4j/deeplearning4j-examples,master,2372,1833,2015-08-24T15:17:43Z,355459,80
apache/kylin,main,3526,1539,2015-01-03T08:00:05Z,526283,89
seata/seata-samples,master,2178,1878,2019-01-29T16:01:42Z,2836,182
XRecyclerView/XRecyclerView,master,5334,1268,2015-11-18T08:14:22Z,6529,243
dromara/hmily,master,4050,1428,2017-09-28T06:29:01Z,3788,53
liuyubobobo/Play-with-Algorithms,master,3584,1498,2016-07-05T18:16:22Z,112003,0
spring-guides/gs-rest-service,main,1296,2329,2013-04-12T14:54:36Z,1584,23
LandGrey/SpringBootVulExploit,master,5224,1268,2020-05-20T09:18:44Z,135,4
katzer/cordova-plugin-local-notifications,master,2549,1730,2013-08-10T11:25:59Z,42720,336
novicezk/midjourney-proxy,main,2950,1612,2023-04-24T13:43:45Z,5797,167
Vedenin/useful-java-links,master,5627,1215,2016-02-13T13:14:52Z,2410,18
Baeldung/spring-security-oauth,master,1921,1933,2016-03-02T09:04:07Z,2995,9
will-che/flink-recommandSystem-demo,master,3949,1405,2019-05-15T07:55:35Z,4692,18
apache/logging-log4j2,2.x,3160,1546,2013-06-12T07:00:19Z,70533,99
jOOQ/jOOQ,main,5655,1197,2011-04-17T10:43:33Z,260343,1924
javaee-samples/javaee7-samples,master,2513,1701,2013-08-27T18:47:51Z,4333,112
digitalsonic/geektime-spring-family,master,1073,2460,2019-02-11T07:08:56Z,52306,14
Azure/azure-sdk-for-java,main,2006,1874,2011-12-06T23:33:56Z,3048338,1454
OpenTSDB/opentsdb,master,4887,1272,2010-08-27T02:05:20Z,41393,533
StarRocks/starrocks,main,5472,1208,2021-09-04T02:29:35Z,232774,1118
lets-blade/blade,v2.1.3,5803,1172,2015-06-10T03:35:49Z,3394,12
Javen205/IJPay,dev,4779,1258,2017-05-02T03:15:32Z,25356,15
software-mansion/react-native-svg,main,6952,1065,2016-01-17T14:29:21Z,19476,337
sofastack/sofa-boot,master,4811,1237,2018-04-02T08:28:14Z,4959,9
JSQLParser/JSqlParser,master,4622,1256,2011-06-23T22:51:52Z,11292,85
HelloWorld521/Java,master,2750,1571,2016-12-08T14:01:46Z,28772,60
bisq-network/bisq,master,4407,1276,2014-03-12T09:42:29Z,655594,196
camunda/camunda-bpm-platform,master,3535,1403,2013-01-03T10:10:31Z,142475,831
chat2db/Chat2DB,main,7600,1006,2023-06-20T14:05:26Z,10309,109
graphql-java/graphql-java,master,5934,1121,2015-07-06T06:52:20Z,13613,79
awsdocs/aws-lambda-developer-guide,main,2294,1687,2017-12-12T00:13:19Z,8679,108
haifengl/smile,master,5822,1121,2014-11-20T16:28:12Z,250188,12
fuzhengwei/small-spring,main,4249,1272,2021-05-15T06:07:28Z,10594,33
apache/dubbo-samples,master,2053,1736,2018-04-28T09:25:29Z,14082,94
youlookwhat/DesignPattern,master,4127,1283,2016-10-21T10:59:32Z,4512,6
tronprotocol/java-tron,develop,3462,1380,2017-12-26T10:20:38Z,207833,30
normanmaurer/netty-in-action,2.0-SNAPSHOT,2019,1744,2012-10-23T05:56:42Z,230,34
jeremylong/DependencyCheck,main,5379,1136,2012-09-03T20:43:30Z,214870,461
CrawlScript/WebCollector,master,3003,1463,2014-07-12T03:16:12Z,272113,62
Netflix/ribbon,master,4470,1229,2013-01-15T01:08:04Z,3448,217
hustcc/JS-Sorting-Algorithm,master,5022,1170,2017-01-19T11:36:21Z,3636,20
Graylog2/graylog2-server,master,6760,1025,2010-05-17T21:27:02Z,163938,1527
sshahine/JFoenix,master,6170,1065,2015-09-08T14:04:24Z,28243,126
JesusFreke/smali,master,6025,1077,2012-09-23T19:51:16Z,9535,133
apache/flume,trunk,2453,1583,2011-08-12T18:20:14Z,45238,91
fabric8io/kubernetes-client,main,3128,1423,2015-07-09T15:43:13Z,485245,121
201206030/novel,master,4331,1231,2019-11-11T01:13:52Z,99426,23
apache/pinot,master,4818,1174,2014-05-19T23:27:48Z,293643,1365
rengwuxian/MaterialEditText,master,6118,1056,2014-10-30T10:07:23Z,1260,194
MovingBlocks/Terasology,develop,3559,1330,2011-03-04T03:49:19Z,300497,481
brianway/java-learning,master,4153,1242,2016-02-09T05:20:58Z,800,4
Exrick/xboot,master,3703,1302,2018-04-23T14:44:18Z,5309,11
gocd/gocd,master,6906,993,2013-12-13T05:26:16Z,367943,72
yusugomori/DeepLearning,master,3016,1423,2013-01-01T16:23:53Z,140,34
apache/avro,master,2583,1521,2009-05-21T02:48:37Z,31242,147
yanzhenjie/SwipeRecyclerView,master,5510,1093,2016-08-03T15:43:34Z,29347,110
netgloo/spring-boot-samples,master,1477,1935,2014-05-22T19:05:50Z,139,9
spring-petclinic/spring-petclinic-microservices,master,1453,1946,2016-11-12T14:57:30Z,7369,13
jfinal/jfinal,master,3209,1378,2012-04-25T08:48:48Z,3355,7
zhangkaitao/es,master,2160,1624,2013-01-12T12:57:51Z,8753,34
mongodb/mongo-java-driver,master,2572,1501,2009-01-15T15:16:29Z,119434,12
apache/commons-lang,master,2550,1504,2009-05-21T01:24:46Z,26521,86
JanusGraph/janusgraph,master,4947,1127,2016-12-26T13:26:29Z,59623,504
oldmanpushcart/greys-anatomy,master,3959,1241,2012-11-21T19:39:35Z,1769,75
FIRST-Tech-Challenge/FtcRobotController,master,543,2965,2020-09-18T00:24:03Z,25601,43
FasterXML/jackson-databind,2.16,3355,1332,2011-12-23T07:17:41Z,75833,503
react-native-webrtc/react-native-webrtc,master,4343,1189,2015-09-27T10:57:30Z,432670,24
mit-cml/appinventor-sources,master,1355,1971,2012-06-25T20:42:28Z,1015743,574
PowerJob/PowerJob,master,5875,1042,2020-03-16T09:19:55Z,19674,163
reactor/reactor-core,main,4670,1147,2015-11-10T10:06:40Z,65271,131
spring-projects/spring-authorization-server,main,4521,1155,2020-03-17T17:28:57Z,3665,60
baoyongzhang/SwipeMenuListView,master,3507,1277,2014-08-24T15:40:45Z,1854,136
confluentinc/ksql,master,5645,1038,2016-09-27T21:30:15Z,170345,1279
ZhongFuCheng3y/austin,master,4421,1154,2021-11-06T09:36:01Z,3946,3
apache/ambari,trunk,1995,1624,2011-09-23T07:00:08Z,368539,132
fishercoder1534/Leetcode,master,3605,1254,2016-07-31T05:28:15Z,9005,17
RodneyShag/HackerRank_solutions,master,2629,1437,2017-02-04T06:41:49Z,904,8
javaparser/javaparser,master,4897,1086,2011-10-30T14:03:44Z,41893,465
szerhusenBC/jwt-spring-security-demo,master,3017,1339,2016-03-20T19:16:17Z,328,9
google/tsunami-security-scanner,master,7944,878,2020-06-03T16:20:00Z,583,41
micronaut-projects/micronaut-core,4.1.x,5819,1003,2018-03-07T12:05:08Z,99453,672
h2database/h2database,master,3869,1194,2015-04-10T19:09:09Z,88367,372
thinkaurelius/titan,titan10,5234,1046,2012-02-25T22:53:53Z,91250,181
google/j2objc,master,5952,986,2014-01-30T20:19:56Z,103434,73
strimzi/strimzi-kafka-operator,main,4052,1159,2016-05-06T08:52:33Z,68715,132
lightbend/config,main,5995,977,2011-12-06T08:02:29Z,4560,226
yizhiwazi/springboot-socks,master,2562,1407,2017-09-24T16:03:57Z,3043,7
widdix/aws-cf-templates,master,2688,1372,2015-10-28T07:47:59Z,12894,18
plantuml/plantuml,master,8692,824,2010-11-04T15:55:50Z,48497,410
Exrick/xpay,master,4562,1079,2017-12-12T16:11:19Z,12148,25
opengoofy/hippo4j,develop,4710,1060,2021-06-16T02:59:48Z,21295,105
igniterealtime/Openfire,main,2714,1342,2014-04-07T09:12:33Z,873559,22
code4craft/netty-learning,master,3511,1197,2013-09-19T02:24:25Z,3362,3
alibaba/QLExpress,master,4305,1095,2017-03-15T08:39:54Z,2112,45
rubenlagus/TelegramBots,master,4017,1127,2016-01-14T00:13:07Z,3017,202
alibaba/cobar,master,3207,1238,2014-01-15T11:20:09Z,9021,52
spring-projects/spring-data-elasticsearch,main,2828,1307,2013-04-29T14:27:38Z,44432,30
spring-projects/spring-data-jpa,main,2763,1318,2010-11-11T21:36:56Z,12294,119
baomidou/dynamic-datasource,master,4215,1096,2018-04-28T02:32:16Z,1075,3
sofastack/sofa-rpc,master,3749,1151,2018-04-09T03:32:04Z,3830,32
btraceio/btrace,develop,5558,968,2014-08-28T18:58:24Z,17397,8
648540858/wvp-GB28181-pro,wvp-28181-2.0,3683,1152,2020-11-14T14:16:37Z,28347,77
provectus/kafka-ui,master,6923,874,2019-11-26T15:55:55Z,30718,301
rstudio/rstudio,main,4385,1059,2010-12-07T19:10:25Z,856400,1467
dreamhead/moco,master,4236,1070,2012-10-18T09:09:51Z,5915,141
nayuki/QR-Code-generator,master,4335,1054,2016-04-15T02:19:41Z,1370,9
201206030/novel-plus,develop_xxy,3227,1198,2020-05-02T07:15:43Z,42514,72
socketio/socket.io-client-java,main,5190,980,2013-04-28T17:04:05Z,2283,106
deathmarine/Luyten,master,4821,1004,2013-07-11T10:57:28Z,5857,177
RameshMF/spring-boot-tutorial,master,1471,1681,2018-09-17T07:25:55Z,2064,5
JakeWharton/hugo,master,7896,810,2013-11-25T09:16:40Z,201,60
microservices-patterns/ftgo-application,master,3105,1213,2017-10-23T04:30:04Z,1144,94
jMonkeyEngine/jmonkeyengine,master,3548,1144,2014-03-20T22:29:28Z,966136,212
JodaOrg/joda-time,main,4941,991,2011-05-16T16:49:57Z,12575,44
jeasonlzy/ImagePicker,master,4281,1052,2016-01-27T17:05:03Z,21059,172
j-easy/easy-rules,master,4583,1021,2013-03-10T14:38:26Z,1776,71
williamfiset/DEPRECATED-data-structures,master,2778,1269,2016-06-19T13:14:48Z,180268,10
apache/curator,master,3002,1224,2014-03-03T08:00:07Z,11056,6
mapstruct/mapstruct,main,6443,873,2012-05-28T12:42:42Z,11095,407
watabou/pixel-dungeon,master,3367,1157,2014-07-26T17:34:32Z,8161,57
xuhuisheng/lemon,master,1609,1594,2013-11-13T17:11:49Z,28649,80
apache/activemq,main,2188,1394,2009-05-21T01:33:45Z,62877,48
Tencent/GT,master,4358,1032,2016-01-13T10:29:55Z,21307,69
drtshock/Potato,master,624,2395,2013-11-09T08:10:33Z,519,45
jacoco/jacoco,master,3782,1094,2012-07-08T21:45:13Z,11572,147
mock-server/mockserver,master,4274,1033,2013-02-26T06:09:52Z,51906,164
auth0/java-jwt,master,5438,930,2014-03-07T15:06:11Z,1434,4
spring-projects/spring-kafka,main,1962,1442,2016-03-02T17:01:33Z,11179,52
qos-ch/logback,master,2766,1236,2009-08-20T18:48:24Z,29621,202
real-logic/aeron,master,6717,834,2014-02-07T17:16:58Z,62362,20
DerekYRC/mini-spring,main,4161,1025,2020-11-17T11:59:18Z,1113,21
Twitter4J/Twitter4J,main,2727,1231,2009-04-24T15:25:00Z,12395,64
apache/nutch,master,2678,1230,2009-05-21T01:17:48Z,137371,13
